Guid,Nf,Mdate,CodTech,DesTech,CodTiers,LibTiers,CodContact,LibContact,Note,Destinataire,Objet,Attch,EMail,EAppel,EVisite,DateMail,DateAppel,DateDevis,DateVisite,LibProj,DatPrevDeb,DatPrevFin,MdatePrev,MdateReal,User,DatUser,DatCreateUser,Type,DesType,PLU,Attach1,Attach2,LIbAt1,LibAt2,DatDeb,DatFin,codProj,Valide,datdrc,categ,DurApp,datepd,IdTech,DesAtt1,DesAtt2,Attnum,CodSociete,LibSociete,DatPrevDebInit,DatPrevFinInit,ReportCount,LastReportAt,lat,long,isBureau
3963A4A2-5C65-40AF-B251-280B9F7AEBCA,1.0,2026-04-03 10:07:00,INCONNU,appel de travail,CL250116,INCONNU,INCONNU,INCONNU,INCONNU,Admin Nexus,INCONNU,INCONNU,INCONNU,INCONNU,INCONNU,INCONNU,INCONNU,INCONNU,INCONNU,Appel,INCONNU,INCONNU,INCONNU,INCONNU,14.0,INCONNU,INCONNU,INCONNU,INCONNU,INCONNU,INCONNU,INCONNU,INCONNU,INCONNU,INCONNU,INCONNU,INCONNU,0.0,INCONNU,INCONNU,INCONNU,INCONNU,INCONNU,INCONNU,INCONNU,INCONNU,INCONNU,INCONNU,INCONNU,INCONNU,0,INCONNU,INCONNU,INCONNU,INCONNU
52E508DB-6F09-4579-A3E6-40C33049A224,1.0,2026-03-11 06:07:00,INCONNU,,CL250116,INCONNU,INCONNU,INCONNU,INCONNU,INCONNU,INCONNU,INCONNU,INCONNU,INCONNU,INCONNU,INCONNU,INCONNU,INCONNU,INCONNU,Visite,INCONNU,INCONNU,INCONNU,INCONNU,14.0,INCONNU,INCONNU,INCONNU,INCONNU,INCONNU,INCONNU,INCONNU,INCONNU,INCONNU,INCONNU,INCONNU,INCONNU,0.0,INCONNU,INCONNU,INCONNU,INCONNU,INCONNU,INCONNU,INCONNU,INCONNU,INCONNU,INCONNU,INCONNU,INCONNU,0,INCONNU,INCONNU,INCONNU,INCONNU
06FC0CEE-251C-4CC7-8249-72C127C7995A,1.0,2026-04-14 10:48:00,INCONNU,visite ,yas03,INCONNU,INCONNU,INCONNU,INCONNU,Admin Nexus,INCONNU,INCONNU,INCONNU,INCONNU,INCONNU,INCONNU,INCONNU,INCONNU,INCONNU,Visite,INCONNU,INCONNU,INCONNU,INCONNU,14.0,INCONNU,INCONNU,INCONNU,INCONNU,INCONNU,INCONNU,INCONNU,INCONNU,INCONNU,INCONNU,INCONNU,PRJ-2026628624865,1.0,INCONNU,Terminé,INCONNU,INCONNU,INCONNU,INCONNU,INCONNU,INCONNU,INCONNU,INCONNU,INCONNU,INCONNU,0,INCONNU,INCONNU,INCONNU,INCONNU
F60C77CB-A26B-40F3-8BF5-882095EAB9E7,1.0,2026-03-11 06:21:00,INCONNU,,CL250116,INCONNU,INCONNU,INCONNU,INCONNU,INCONNU,INCONNU,INCONNU,INCONNU,INCONNU,INCONNU,INCONNU,INCONNU,INCONNU,INCONNU,Réunion,INCONNU,INCONNU,INCONNU,INCONNU,14.0,INCONNU,INCONNU,INCONNU,INCONNU,INCONNU,INCONNU,INCONNU,INCONNU,INCONNU,INCONNU,INCONNU,INCONNU,0.0,INCONNU,INCONNU,INCONNU,INCONNU,INCONNU,INCONNU,INCONNU,INCONNU,INCONNU,INCONNU,INCONNU,INCONNU,0,INCONNU,INCONNU,INCONNU,INCONNU
2DE94373-FDFA-4E43-87C3-9D88887ED967,1.0,2026-04-14 11:01:00,INCONNU,appel,yas03,INCONNU,INCONNU,INCONNU,INCONNU,Admin Nexus,INCONNU,INCONNU,INCONNU,INCONNU,INCONNU,INCONNU,INCONNU,INCONNU,INCONNU,Appel,INCONNU,INCONNU,INCONNU,INCONNU,14.0,INCONNU,INCONNU,INCONNU,INCONNU,INCONNU,INCONNU,INCONNU,INCONNU,INCONNU,INCONNU,INCONNU,PRJ-2026628624865,0.0,INCONNU,Planifié,INCONNU,INCONNU,INCONNU,INCONNU,INCONNU,INCONNU,INCONNU,INCONNU,INCONNU,INCONNU,0,INCONNU,INCONNU,INCONNU,INCONNU
CB7E5860-34CF-4FD6-BCD4-9F3BD0FEE6E0,1.0,2026-03-11 06:04:00,INCONNU,,CL250116,INCONNU,INCONNU,INCONNU,INCONNU,INCONNU,INCONNU,INCONNU,INCONNU,INCONNU,INCONNU,INCONNU,INCONNU,INCONNU,INCONNU,Appel,INCONNU,INCONNU,INCONNU,INCONNU,14.0,INCONNU,INCONNU,INCONNU,INCONNU,INCONNU,INCONNU,INCONNU,INCONNU,INCONNU,INCONNU,INCONNU,INCONNU,0.0,INCONNU,INCONNU,INCONNU,INCONNU,INCONNU,INCONNU,INCONNU,INCONNU,INCONNU,INCONNU,INCONNU,INCONNU,0,INCONNU,INCONNU,INCONNU,INCONNU
E28F8181-54FC-4392-99C4-DCDFAEB6C525,1.0,2026-04-11 10:07:00,INCONNU,appel de travail (Reporté),CL250116,INCONNU,INCONNU,INCONNU,INCONNU,Admin Nexus,INCONNU,INCONNU,INCONNU,INCONNU,INCONNU,INCONNU,INCONNU,INCONNU,INCONNU,Appel,INCONNU,INCONNU,INCONNU,INCONNU,14.0,INCONNU,INCONNU,INCONNU,INCONNU,INCONNU,INCONNU,INCONNU,INCONNU,INCONNU,INCONNU,INCONNU,INCONNU,0.0,INCONNU,INCONNU,INCONNU,INCONNU,INCONNU,INCONNU,INCONNU,INCONNU,INCONNU,INCONNU,INCONNU,INCONNU,0,INCONNU,INCONNU,INCONNU,INCONNU
55283919-C6D0-434F-A80C-E5C7DF81BD21,1.0,2026-04-14 10:47:00,INCONNU,"appel pour linformation
",yas03,INCONNU,INCONNU,INCONNU,INCONNU,Admin Nexus,INCONNU,INCONNU,INCONNU,INCONNU,INCONNU,INCONNU,INCONNU,INCONNU,INCONNU,Appel,INCONNU,INCONNU,INCONNU,INCONNU,14.0,INCONNU,INCONNU,INCONNU,INCONNU,INCONNU,INCONNU,INCONNU,INCONNU,INCONNU,INCONNU,INCONNU,PRJ-2026628624865,0.0,INCONNU,Planifié,INCONNU,INCONNU,INCONNU,INCONNU,INCONNU,INCONNU,INCONNU,INCONNU,INCONNU,INCONNU,0,INCONNU,INCONNU,INCONNU,INCONNU
